bin,count,win_rate,ev,avg_gain,avg_loss,profit_loss_ratio,avg_holding_days,max_gain,max_loss,small_sample,yearly_dist,feature
"[-4.0%,-3.8%)",18,0.611111,0.018263,0.04857,-0.02936,1.654256,1.0,0.09404,-0.051546,False,"{'2018': np.int64(1), '2019': np.int64(6), '2020': np.int64(1), '2022': np.int64(6), '2023': np.int64(1), '2024': np.int64(3)}",low_open_range
"[-3.8%,-3.6%)",30,0.6,0.006266,0.039518,-0.043611,0.906147,1.266667,0.197531,-0.074074,False,"{'2018': np.int64(4), '2019': np.int64(2), '2020': np.int64(3), '2021': np.int64(2), '2022': np.int64(12), '2023': np.int64(3), '2024': np.int64(4)}",low_open_range
"[-3.6%,-3.4%)",38,0.631579,0.020458,0.059754,-0.046905,1.273923,1.052632,0.2,-0.082857,False,"{'2018': np.int64(9), '2019': np.int64(5), '2020': np.int64(6), '2021': np.int64(4), '2022': np.int64(4), '2023': np.int64(2), '2024': np.int64(5), '2025': np.int64(3)}",low_open_range
"[-3.4%,-3.2%)",31,0.580645,0.01973,0.053265,-0.026702,1.994753,1.225806,0.244444,-0.056818,False,"{'2018': np.int64(5), '2019': np.int64(10), '2020': np.int64(3), '2022': np.int64(7), '2023': np.int64(4), '2024': np.int64(1), '2025': np.int64(1)}",low_open_range
"[-3.2%,-3.0%]",52,0.769231,0.030812,0.048887,-0.029438,1.660688,1.019231,0.333333,-0.066333,False,"{'2018': np.int64(12), '2019': np.int64(8), '2020': np.int64(5), '2021': np.int64(9), '2022': np.int64(6), '2023': np.int64(1), '2024': np.int64(10), '2025': np.int64(1)}",low_open_range
"[0%,10%]",22,0.590909,0.025964,0.077651,-0.048695,1.594648,1.363636,0.333333,-0.074074,False,"{'2018': np.int64(2), '2019': np.int64(4), '2020': np.int64(3), '2021': np.int64(2), '2022': np.int64(7), '2023': np.int64(3), '2024': np.int64(1)}",position_60d
"(10%,20%]",20,0.8,0.048546,0.072195,-0.046054,1.567624,1.35,0.244444,-0.053342,False,"{'2018': np.int64(5), '2019': np.int64(4), '2020': np.int64(3), '2021': np.int64(1), '2022': np.int64(2), '2024': np.int64(5)}",position_60d
"(20%,30%]",44,0.681818,0.015049,0.039657,-0.037683,1.052391,1.068182,0.08977,-0.082857,False,"{'2018': np.int64(11), '2019': np.int64(7), '2020': np.int64(5), '2021': np.int64(5), '2022': np.int64(7), '2023': np.int64(2), '2024': np.int64(6), '2025': np.int64(1)}",position_60d
"(30%,40%]",39,0.692308,0.022996,0.043323,-0.02274,1.905176,1.0,0.154545,-0.036613,False,"{'2018': np.int64(6), '2019': np.int64(8), '2020': np.int64(2), '2021': np.int64(5), '2022': np.int64(7), '2023': np.int64(3), '2024': np.int64(5), '2025': np.int64(3)}",position_60d
"(40%,50%]",44,0.568182,0.009248,0.042796,-0.034895,1.226422,1.0,0.2,-0.066333,False,"{'2018': np.int64(7), '2019': np.int64(8), '2020': np.int64(5), '2021': np.int64(2), '2022': np.int64(12), '2023': np.int64(3), '2024': np.int64(6), '2025': np.int64(1)}",position_60d
<5元,74,0.635135,0.023976,0.059111,-0.037186,1.589593,1.216216,0.333333,-0.082857,False,"{'2018': np.int64(5), '2019': np.int64(18), '2020': np.int64(9), '2021': np.int64(8), '2022': np.int64(16), '2023': np.int64(3), '2024': np.int64(14), '2025': np.int64(1)}",stock_price
5-10元,51,0.666667,0.018528,0.043636,-0.031689,1.377006,1.039216,0.169448,-0.071201,False,"{'2018': np.int64(11), '2019': np.int64(11), '2020': np.int64(5), '2021': np.int64(3), '2022': np.int64(10), '2023': np.int64(2), '2024': np.int64(7), '2025': np.int64(2)}",stock_price
10-20元,30,0.7,0.020728,0.044671,-0.03514,1.271222,1.0,0.167553,-0.053342,False,"{'2018': np.int64(11), '2020': np.int64(2), '2021': np.int64(1), '2022': np.int64(8), '2023': np.int64(5), '2024': np.int64(1), '2025': np.int64(2)}",stock_price
>=20元,14,0.642857,0.011934,0.043776,-0.045381,0.964627,1.0,0.102556,-0.080176,False,"{'2018': np.int64(4), '2019': np.int64(2), '2020': np.int64(2), '2021': np.int64(3), '2022': np.int64(1), '2023': np.int64(1), '2024': np.int64(1)}",stock_price
<5亿,169,0.656805,0.020757,0.050396,-0.035964,1.401282,1.106509,0.333333,-0.082857,False,"{'2018': np.int64(31), '2019': np.int64(31), '2020': np.int64(18), '2021': np.int64(15), '2022': np.int64(35), '2023': np.int64(11), '2024': np.int64(23), '2025': np.int64(5)}",circulating_market_cap
5-10亿,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,{},circulating_market_cap
10-50亿,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,{},circulating_market_cap
>=50亿,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,{},circulating_market_cap
1个,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,{},candidate_count
2个,2,0.5,0.001932,0.053191,-0.049327,1.078337,1.0,0.053191,-0.049327,True,"{'2018': np.int64(1), '2019': np.int64(1)}",candidate_count
3-5个,18,0.666667,0.033445,0.067686,-0.035037,1.931848,1.277778,0.244444,-0.053803,False,"{'2018': np.int64(4), '2019': np.int64(2), '2020': np.int64(4), '2022': np.int64(4), '2023': np.int64(1), '2024': np.int64(2), '2025': np.int64(1)}",candidate_count
>5个,149,0.657718,0.019477,0.04825,-0.035811,1.347349,1.087248,0.333333,-0.082857,False,"{'2018': np.int64(26), '2019': np.int64(28), '2020': np.int64(14), '2021': np.int64(15), '2022': np.int64(31), '2023': np.int64(10), '2024': np.int64(21), '2025': np.int64(4)}",candidate_count
<=-12%,24,0.75,0.02533,0.046182,-0.037225,1.240592,1.0,0.167553,-0.080176,False,"{'2018': np.int64(5), '2019': np.int64(6), '2020': np.int64(3), '2022': np.int64(9), '2024': np.int64(1)}",market_weakness
-12%to-8%,35,0.685714,0.019369,0.043743,-0.033809,1.293825,1.057143,0.154545,-0.057333,False,"{'2018': np.int64(9), '2019': np.int64(1), '2020': np.int64(1), '2021': np.int64(3), '2022': np.int64(14), '2023': np.int64(2), '2024': np.int64(4), '2025': np.int64(1)}",market_weakness
-8%to-4%,56,0.678571,0.029358,0.063644,-0.043021,1.479355,1.196429,0.333333,-0.082857,False,"{'2018': np.int64(12), '2019': np.int64(9), '2020': np.int64(5), '2021': np.int64(7), '2022': np.int64(7), '2023': np.int64(2), '2024': np.int64(11), '2025': np.int64(3)}",market_weakness
-4%to0%,54,0.574074,0.010705,0.041754,-0.031143,1.340734,1.092593,0.2,-0.074074,False,"{'2018': np.int64(5), '2019': np.int64(15), '2020': np.int64(9), '2021': np.int64(5), '2022': np.int64(5), '2023': np.int64(7), '2024': np.int64(7), '2025': np.int64(1)}",market_weakness
