date,code,rank,market_mode,open_gap,stock_price,yesterday_money,yesterday_volume,circulating_market_cap,turnover_ratio,position_60d,return_5d,return_10d,return_20d,distance_ma5,distance_ma10,distance_ma20,volatility_20d,idx_drawdown_20d,idx_ma_relation,first_board_perf,fb_pct,max_boards,bear_pool_count,bear_candidate_count,candidate_rank,slots_total,held_before,slots_available,is_bought,day_open,high_limit,low_limit,close,high,low,pre_close,exit_date,exit_price,return,holding_days
2018-01-19,002783.XSHE,11,bear,-0.036999,19.73,284699328.0,14209346.0,0,0,0.425862,0.133257,0.059045,0.093681,0.09672,0.091201,0.089303,0.028472,-0.032422,ma20<=ma60,0.011982,0.285714,3,19,15,11,2,1,1,True,19.0,21.7,17.76,20.24,21.47,18.8,19.73,2018-01-22,19.47,0.0247368421052631,1
2018-01-24,002836.XSHE,6,bear,-0.03245,21.88,161181008.0,7643036.0,0,0,0.312762,0.139583,0.118609,0.121476,0.092798,0.112354,0.117296,0.028878,-0.023415,ma20<=ma60,0.023261,0.588235,3,18,9,6,2,1,1,True,21.17,24.07,19.69,21.38,21.53,20.6,21.88,2018-01-25,20.91,-0.01274787535410763,1
2018-01-25,600275.XSHG,0,bear,-0.030466,5.58,26509292.0,4875503.0,0,0,0.103448,-0.010638,-0.027875,-0.059022,0.016393,-0.004638,-0.03167,0.017497,-0.016121,ma20<=ma60,0.001704,0.166667,3,7,4,0,2,1,1,True,5.41,5.86,5.3,5.42,5.55,5.36,5.58,2018-01-26,5.55,0.023985239852398504,1
2018-03-02,000670.XSHE,0,bear,-0.032028,5.62,264306192.0,48583104.0,0,0,0.438356,0.185654,0.156379,-0.071074,0.095517,0.134895,0.131696,0.061936,-0.056326,ma20<=ma60,0.025299,0.692308,3,38,13,0,2,1,1,True,5.44,6.18,5.06,5.46,5.58,5.35,5.62,2018-03-05,5.49,0.00733944954128441,1
2018-03-08,600749.XSHG,4,bear,-0.030265,15.86,77385552.0,5014237.0,0,0,0.345401,0.116901,0.151779,-0.053699,0.084519,0.107155,0.145292,0.049732,-0.007024,ma20<=ma60,0.001364,0.209302,3,18,6,4,2,1,1,True,15.38,17.45,14.27,15.51,15.9,15.18,15.86,2018-03-09,15.41,0.0012995451591942542,1
2018-05-31,601069.XSHG,3,bear,-0.035288,19.27,1020114304.0,51895256.0,0,0,0.424032,0.021198,0.008901,0.022281,0.036579,0.028501,-0.002665,0.033735,-0.073164,ma20<=ma60,-0.00566,0.15,3,5,4,3,2,1,1,True,18.59,21.2,17.34,20.08,20.52,18.5,19.27,2018-06-01,20.3,0.09198493813878433,1
2018-06-06,000982.XSHE,0,bear,-0.031915,1.88,30638238.0,16538343.0,0,0,0.060403,-0.06,-0.248,-0.351724,0.001065,-0.082031,-0.192266,0.033358,-0.060671,ma20<=ma60,0.045663,0.933333,3,20,7,0,2,1,1,True,1.82,1.97,1.79,1.85,1.91,1.8,1.88,2018-06-07,1.87,0.027472527472527496,1
2018-06-11,002427.XSHE,0,bear,-0.035714,9.24,169153520.0,19138826.0,0,0,0.107992,-0.039501,-0.109827,0.20156,0.039136,-0.019837,-0.004257,0.041232,-0.077099,ma20<=ma60,0.033084,0.733333,3,7,2,0,2,1,1,True,8.91,9.7,8.78,8.78,9.07,8.78,9.24,2018-06-12,8.48,-0.049327354260089634,1
2018-06-26,002849.XSHE,12,bear,-0.036281,17.64,87654248.0,5080067.0,0,0,0.238655,0.009731,-0.175258,-0.199132,0.088217,-0.00999,-0.067608,0.050461,-0.15068,ma20<=ma60,0.033767,0.716667,3,20,17,12,2,1,1,True,17.0,19.4,15.88,17.49,17.74,16.78,17.64,2018-06-27,17.09,0.0052941176470588155,1
2018-07-02,002562.XSHE,14,bear,-0.031297,6.71,302842944.0,46050260.0,0,0,0.450877,0.078778,0.17103,0.029141,0.045171,0.126784,0.090348,0.050465,-0.11264,ma20<=ma60,0.040114,0.816667,3,44,35,14,2,2,0,True,6.5,7.38,6.04,6.57,6.74,6.45,6.71,2018-07-03,6.63,0.019999999999999983,1
2018-07-02,002772.XSHE,21,bear,-0.034648,8.37,75675544.0,9256618.0,0,0,0.217277,0.05283,-0.163,-0.229282,0.074179,0.022602,-0.117135,0.038614,-0.11264,ma20<=ma60,0.040114,0.816667,3,44,35,21,2,2,0,True,8.08,9.21,7.53,8.24,8.35,7.96,8.37,2018-07-03,8.13,0.0049443757725588285,1
2018-07-04,000856.XSHE,2,bear,-0.031564,13.94,213088192.0,15758985.0,0,0,0.236702,0.106349,0.100237,-0.093628,0.086347,0.100497,-0.0,0.041822,-0.113739,ma20<=ma60,0.026293,0.633333,3,27,19,2,2,2,0,True,13.5,15.33,12.55,13.41,13.76,13.3,13.94,2018-07-05,13.04,-0.0347890451517395,1
2018-07-04,600360.XSHG,12,bear,-0.033675,6.83,158555360.0,23985474.0,0,0,0.317518,0.130795,0.055641,0.0,0.088273,0.097189,0.043624,0.039348,-0.113739,ma20<=ma60,0.026293,0.633333,3,27,19,12,2,2,0,True,6.6,7.49,6.13,6.56,6.72,6.49,6.81,2018-07-05,6.44,-0.02424242424242413,1
2018-07-11,603309.XSHG,20,bear,-0.03166,12.95,36583088.0,2912181.0,0,0,0.197257,0.064967,0.090067,-0.151887,0.092458,0.091353,0.042589,0.043217,-0.108781,ma20<=ma60,0.028019,0.65,3,31,21,20,2,1,1,True,12.54,14.25,11.66,12.54,12.88,12.2,12.95,2018-07-12,12.62,0.006379585326953754,1
2018-07-18,002314.XSHE,3,bear,-0.036058,4.16,115186712.0,27845604.0,0,0,0.205479,0.080519,0.029703,0.058524,0.079958,0.078558,0.053565,0.027696,-0.005895,ma20<=ma60,0.034854,0.783333,3,31,18,3,2,1,1,True,4.01,4.58,3.74,3.99,4.33,3.97,4.16,2018-07-19,3.88,-0.03241895261845384,1
2018-08-03,002287.XSHE,6,bear,-0.031946,30.99,87602296.0,2908370.0,0,0,0.420655,0.071206,0.063487,0.11751,0.065827,0.066378,0.067846,0.025546,-0.06328,ma20<=ma60,0.02057,0.483333,3,20,9,6,2,1,1,True,30.0,34.09,27.89,29.85,30.67,29.6,30.99,2018-08-06,28.01,-0.06633333333333329,1
2018-08-07,002888.XSHE,6,bear,-0.035638,18.8,108053976.0,5708066.0,0,0,0.123555,-0.025402,-0.117371,-0.026915,0.020851,-0.026562,-0.049112,0.044084,-0.095143,ma20<=ma60,-0.015142,0.033333,3,13,9,6,2,1,1,True,18.13,20.68,16.92,19.1,19.7,18.13,18.8,2018-08-08,19.26,0.06232763375620533,1
2018-08-09,002770.XSHE,4,bear,-0.037464,3.47,163086896.0,47296104.0,0,0,0.426633,0.051515,-0.005731,0.213287,0.087093,0.041417,0.022995,0.049441,-0.086851,ma20<=ma60,-0.001094,0.183333,3,19,9,4,2,1,1,True,3.34,3.82,3.12,3.48,3.63,3.3,3.47,2018-08-10,3.42,0.023952095808383256,1
2018-08-23,603336.XSHG,14,bear,-0.030835,23.35,429017792.0,18182448.0,0,0,0.256063,0.038553,0.004604,-0.216469,0.077924,0.040067,0.006591,0.042686,-0.099029,ma20<=ma60,0.002912,0.283333,3,18,15,14,2,1,1,True,22.63,25.69,21.02,23.7,24.71,22.63,23.35,2018-08-24,23.99,0.06009721608484311,1
2018-08-29,002196.XSHE,2,bear,-0.030837,6.81,69211808.0,10528399.0,0,0,0.349974,0.114402,0.017937,-0.034043,0.087387,0.081,0.040034,0.025664,-0.040816,ma20<=ma60,0.007818,0.3,3,17,12,2,2,1,1,True,6.6,7.49,6.13,6.53,6.7,6.4,6.81,2018-08-30,6.39,-0.031818181818181815,1
2018-08-31,002464.XSHE,1,bear,-0.035285,12.47,633518016.0,50768608.0,0,0,0.246191,0.25938,0.221148,-0.192358,0.09764,0.151831,0.14412,0.064881,-0.047477,ma20<=ma60,-0.019515,0.05,3,7,6,1,2,1,1,True,12.03,13.72,11.22,12.7,13.4,11.83,12.47,2018-09-03,12.92,0.07308970099667782,1
2018-09-03,000760.XSHE,1,bear,-0.035813,3.63,301113760.0,88548400.0,0,0,0.233333,0.067647,-0.07398,-0.344765,0.053395,0.019377,-0.083218,0.050422,-0.057959,ma20<=ma60,0.029012,0.716667,3,10,8,1,2,1,1,True,3.5,3.99,3.27,3.33,3.54,3.27,3.63,2018-09-04,3.21,-0.08285714285714287,1
2018-09-06,002091.XSHE,1,bear,-0.030695,6.19,199085200.0,33307276.0,0,0,0.456375,0.069085,0.097557,0.06175,0.075026,0.069096,0.070023,0.025029,-0.062705,ma20<=ma60,0.008811,0.316667,3,15,9,1,2,2,0,True,6.0,6.81,5.57,5.99,6.07,5.86,6.19,2018-09-07,5.81,-0.03166666666666673,1
2018-09-06,002143.XSHE,2,bear,-0.031161,3.53,300385888.0,80832704.0,0,0,0.060373,0.13141,0.089372,-0.073491,0.112161,0.103428,0.050233,0.037385,-0.062705,ma20<=ma60,0.008811,0.316667,3,15,9,2,2,2,0,True,3.42,3.88,3.18,3.88,3.88,3.37,3.53,2018-09-10,4.56,0.33333333333333326,2
2018-09-06,600532.XSHG,7,bear,-0.034483,3.77,107477960.0,29492644.0,0,0,0.138418,0.102339,0.099318,0.02168,0.096568,0.091861,0.067456,0.029275,-0.062705,ma20<=ma60,0.008811,0.316667,3,15,9,7,2,2,0,False,3.64,4.15,3.39,3.6,3.75,3.57,3.77,,0.0,0.0,0
2018-10-11,002893.XSHE,4,bear,-0.031414,19.1,289682880.0,14888351.0,0,0,0.326478,0.080317,0.111111,0.108532,0.090058,0.097197,0.072371,0.047974,-0.043731,ma20<=ma60,0.033687,0.8,3,19,14,4,2,2,0,True,18.5,21.01,17.19,20.35,20.7,18.28,19.1,2018-10-12,19.4,0.048648648648648575,1
2018-10-11,603041.XSHG,8,bear,-0.039078,15.61,49654832.0,3342648.0,0,0,0.308511,0.050471,0.074329,0.061183,0.063062,0.045966,0.064693,0.030489,-0.043731,ma20<=ma60,0.033687,0.8,3,19,14,8,2,2,0,True,15.0,17.17,14.05,14.53,15.49,14.12,15.61,2018-10-12,15.21,0.013324450366422456,1
2018-10-17,603936.XSHG,5,bear,-0.032047,15.29,90898112.0,6115730.0,0,0,0.194406,-0.039573,-0.100588,-0.086073,0.032829,-0.02144,-0.059395,0.03606,-0.150663,ma20<=ma60,0.002877,0.2,3,11,8,5,2,1,1,True,14.8,16.82,13.76,15.33,15.41,14.35,15.29,2018-10-18,14.02,-0.05334233625928433,1
2018-10-18,603516.XSHG,15,bear,-0.035684,23.54,164155552.0,7310068.0,0,0,0.208005,0.012473,-0.028076,-0.041531,0.108495,0.066027,0.014284,0.044176,-0.144479,ma20<=ma60,0.035011,0.85,3,23,17,15,2,1,1,True,22.7,25.89,21.19,21.8,23.35,21.71,23.54,2018-10-19,20.88,-0.08017621145374451,1
2018-10-25,000153.XSHE,1,bear,-0.03352,5.37,52079840.0,9727893.0,0,0,0.247475,0.057087,-0.113861,-0.118227,0.05959,0.045154,-0.048968,0.040384,-0.127467,ma20<=ma60,0.029898,0.8,3,23,19,1,2,2,0,True,5.19,5.91,4.83,5.38,5.55,5.12,5.37,2018-10-26,5.32,0.023076923076923096,1
2018-10-25,002336.XSHE,4,bear,-0.034946,7.44,51302288.0,6959332.0,0,0,0.229339,0.134146,-0.087117,-0.099274,0.092832,0.098641,-0.034393,0.049616,-0.127467,ma20<=ma60,0.029898,0.8,3,23,19,4,2,2,0,True,7.18,8.18,6.7,7.34,7.66,6.99,7.44,2018-10-26,7.11,-0.009749303621169833,1
2018-11-01,002766.XSHE,9,bear,-0.035398,6.78,192508208.0,28217286.0,0,0,0.268293,-0.018813,0.126246,-0.100796,0.002959,0.0293,0.026573,0.05126,-0.117631,ma20<=ma60,0.014848,0.5,3,44,27,9,2,1,1,True,6.54,7.46,6.1,6.87,7.2,6.53,6.78,2018-11-02,6.93,0.05963302752293573,1
2018-12-28,000979.XSHE,0,bear,,0.22,,,0,0,0.012987,-0.043478,-0.185185,-0.153846,-0.026549,-0.06383,-0.126984,0.044413,-0.086979,ma20>ma60,-0.027331,0.0,3,8,4,0,2,0,2,False,,,,,,,,,0.0,0.0,0
2019-01-31,000736.XSHE,2,bear,-0.039616,8.33,90607408.0,11444236.0,0,0,0.476852,0.130258,0.118121,0.121131,0.0949,0.110371,0.114605,0.024878,-0.049832,ma20<=ma60,-0.022635,0.033333,3,16,9,2,2,1,1,True,8.0,9.16,7.5,7.85,8.19,7.53,8.33,2019-02-01,7.77,-0.02996254681647943,1
2019-05-08,000957.XSHE,4,bear,-0.038217,7.85,313423904.0,39766344.0,0,0,0.496377,-0.205466,-0.224308,-0.024845,-0.033013,-0.133554,-0.135986,0.066474,-0.151368,ma20>ma60,0.039114,0.8,3,58,17,4,2,1,1,True,7.55,8.64,7.07,7.88,8.31,7.41,7.85,2019-05-09,8.26,0.09403973509933775,1
2019-05-09,000570.XSHE,0,bear,-0.032129,4.98,64797112.0,13259515.0,0,0,0.420664,-0.00994,-0.132404,-0.145798,0.05152,-0.015421,-0.065929,0.040611,-0.153872,ma20>ma60,0.012046,0.45,3,35,14,0,2,1,1,True,4.82,5.48,4.48,4.88,5.05,4.75,4.98,2019-05-10,4.94,0.022774327122153274,1
2019-05-13,000670.XSHE,5,bear,-0.034268,3.21,188736848.0,61006068.0,0,0,0.051414,-0.038922,-0.256944,-0.329854,0.035484,-0.057822,-0.184762,0.033783,-0.129447,ma20>ma60,0.053992,0.933333,3,71,24,5,2,1,1,True,3.1,3.37,3.05,3.05,3.17,3.05,3.21,2019-05-14,2.95,-0.04838709677419352,1
2019-05-14,002442.XSHE,3,bear,-0.032033,7.18,120624968.0,17683272.0,0,0,0.276236,0.163695,-0.129697,-0.204485,0.108025,0.067182,-0.050349,0.043969,-0.135828,ma20>ma60,0.01609,0.5,3,25,9,3,2,1,1,True,6.95,7.9,6.46,6.83,7.06,6.65,7.18,2019-05-15,6.9,-0.008620689655172358,1
2019-05-17,603650.XSHG,31,bear,-0.031812,21.69,167196960.0,7761068.0,0,0,0.345023,0.134414,0.07217,-0.068699,0.080933,0.101574,0.007829,0.047258,-0.116379,ma20<=ma60,0.009359,0.383333,3,60,32,31,2,1,1,True,21.0,23.86,19.52,21.65,22.06,20.9,21.69,2019-05-20,21.6,0.02857142857142864,1
2019-05-21,002121.XSHE,2,bear,-0.037168,5.65,233938608.0,42449476.0,0,0,0.229299,0.090734,0.146045,-0.093098,0.05726,0.082998,0.020224,0.040965,-0.15061,ma20<=ma60,0.020529,0.65,3,22,11,2,2,1,1,True,5.44,6.22,5.09,5.49,5.71,5.37,5.65,2019-05-22,5.51,0.011009174311926533,1
2019-05-24,600128.XSHG,2,bear,-0.039903,8.27,262038304.0,31729762.0,0,0,0.215385,0.040252,0.104139,-0.191593,0.074584,0.070827,0.028863,0.043253,-0.143915,ma20<=ma60,-0.005485,0.266667,3,13,6,2,2,1,1,True,7.94,9.1,7.44,8.7,9.0,7.91,8.27,2019-05-27,8.39,0.055345911949685585,1
2019-06-13,000017.XSHE,0,bear,-0.031579,4.75,76459408.0,16600517.0,0,0,0.367568,0.112412,0.032609,0.067416,0.099028,0.084227,0.0793,0.039994,-0.047472,ma20<=ma60,0.014546,0.516667,3,38,20,0,2,2,0,True,4.6,5.23,4.28,4.56,4.75,4.52,4.75,2019-06-14,4.49,-0.02391304347826075,1
2019-06-13,002606.XSHE,7,bear,-0.030201,5.96,157339872.0,26154308.0,0,0,0.239521,0.155039,0.049296,-0.019737,0.094381,0.092576,0.057769,0.032512,-0.047472,ma20<=ma60,0.014546,0.516667,3,38,20,7,2,2,0,True,5.78,6.56,5.36,6.14,6.48,5.7,5.96,2019-06-14,5.91,0.020725388601036288,1
2019-06-18,002517.XSHE,7,bear,-0.030303,3.63,554404160.0,148872464.0,0,0,0.314159,0.243151,0.137931,0.052174,0.079073,0.126629,0.114523,0.045582,-0.047503,ma20<=ma60,0.038258,0.85,3,27,16,7,2,1,1,True,3.52,3.99,3.27,3.67,3.92,3.49,3.63,2019-06-19,3.69,0.04829545454545452,1
2019-06-20,600017.XSHG,7,bear,-0.032934,3.34,313305856.0,97280424.0,0,0,0.477567,0.10231,0.102165,0.080906,0.082307,0.09652,0.098796,0.024658,-0.029869,ma20<=ma60,0.033972,0.8,3,36,21,7,2,1,1,True,3.23,3.67,3.01,3.24,3.29,3.17,3.34,2019-06-21,3.22,-0.0030959752321980762,1
2019-06-24,002284.XSHE,18,bear,-0.033392,5.69,164103504.0,28302874.0,0,0,0.482927,0.178054,0.210638,0.165984,0.113939,0.13709,0.147409,0.028213,0.0,ma20<=ma60,0.033702,0.783333,3,59,53,18,2,2,0,True,5.5,6.26,5.12,5.85,6.14,5.34,5.69,2019-06-25,5.61,0.02000000000000006,1
2019-06-24,002359.XSHE,21,bear,-0.032374,2.78,92359216.0,34398228.0,0,0,0.013627,-0.133956,-0.13125,-0.481343,-0.019054,-0.058266,-0.209891,0.036294,0.0,ma20<=ma60,0.033702,0.783333,3,59,53,21,2,2,0,True,2.69,2.92,2.64,2.7,2.75,2.64,2.78,2019-06-25,2.74,0.018587360594795637,1
2019-06-25,000408.XSHE,0,bear,-0.03555,8.72,626097408.0,70963384.0,0,0,0.353519,0.323217,0.305389,0.162667,0.089183,0.177901,0.19879,0.044358,-0.000415,ma20<=ma60,0.00199,0.333333,3,25,12,0,2,0,2,False,8.41,9.59,7.85,8.97,9.5,8.22,8.72,,0.0,0.0,0
2019-06-26,600212.XSHG,7,bear,-0.033259,4.51,141334624.0,32646054.0,0,0,0.395062,0.183727,0.183727,0.06872,0.089899,0.130609,0.151832,0.034356,-0.010054,ma20<=ma60,-0.006767,0.216667,3,24,11,7,2,1,1,True,4.36,4.96,4.06,4.27,4.44,4.24,4.51,2019-06-27,4.21,-0.03661327231121285,1
2019-06-28,600880.XSHG,6,bear,-0.033079,3.93,34105184.0,8996705.0,0,0,0.288462,0.010283,0.02611,-0.010076,-0.00355,0.017344,0.028527,0.017481,-0.001567,ma20<=ma60,0.012403,0.5,3,31,13,6,2,1,1,True,3.8,4.32,3.54,3.79,3.91,3.74,3.93,2019-07-01,3.87,0.018421052631579022,1
2019-07-01,600747.XSHG,7,bear,-0.035714,1.12,44182172.0,40192256.0,0,0,0.211765,0.131313,0.108911,-0.058824,0.044776,0.09589,0.088435,0.033121,-0.01565,ma20<=ma60,-0.003377,0.283333,3,15,10,7,2,1,1,True,1.08,1.18,1.06,1.11,1.14,1.07,1.12,2019-07-02,1.14,0.05555555555555539,1
2019-07-02,600240.XSHG,22,bear,-0.038462,1.04,102865416.0,98305832.0,0,0,0.063158,0.209302,0.130435,-0.063063,0.065574,0.11588,0.078838,0.040228,0.0,ma20<=ma60,0.039642,0.9,3,56,30,22,2,1,1,True,1.0,1.09,0.99,1.06,1.09,0.99,1.04,2019-07-03,1.04,0.040000000000000036,1
2019-07-08,000510.XSHE,0,bear,-0.031496,5.08,310617856.0,60163464.0,0,0,0.396313,0.114035,0.078556,0.192488,0.07173,0.079702,0.098497,0.028687,-0.010808,ma20<=ma60,-0.005819,0.25,3,24,10,0,2,1,1,True,4.92,5.59,4.57,5.18,5.48,4.85,5.08,2019-07-09,5.01,0.01829268292682924,1
2019-07-10,603168.XSHG,15,bear,-0.038674,9.05,163002784.0,18382192.0,0,0,0.484909,0.213137,0.258693,0.267507,0.125062,0.174105,0.215989,0.029656,-0.040699,ma20<=ma60,0.019187,0.716667,3,26,16,15,2,1,1,True,8.7,9.96,8.15,8.77,9.48,8.5,9.05,2019-07-11,8.81,0.011481056257175618,1
2019-07-12,600172.XSHG,2,bear,-0.031339,3.51,286928736.0,82325128.0,0,0,0.261364,0.057229,0.063636,0.08,0.070122,0.063314,0.062992,0.030218,-0.050536,ma20<=ma60,0.008035,0.466667,3,19,12,2,2,1,1,True,3.4,3.86,3.16,3.46,3.55,3.35,3.51,2019-07-15,3.46,0.01764705882352943,1
2019-07-17,000068.XSHE,0,bear,-0.036957,4.6,252096848.0,55459028.0,0,0,0.196787,0.072261,0.064815,0.084906,0.067285,0.065308,0.06003,0.029045,-0.03616,ma20<=ma60,0.018975,0.716667,3,18,12,0,2,2,0,True,4.43,5.06,4.14,4.63,4.78,4.37,4.6,2019-07-18,4.48,0.011286681715575782,1
2019-07-17,600732.XSHG,10,bear,-0.03481,6.32,42692696.0,6961818.0,0,0,0.153846,-0.042424,-0.081395,-0.045317,-0.001264,-0.037319,-0.058122,0.020427,-0.03616,ma20<=ma60,0.018975,0.716667,3,18,12,10,2,2,0,True,6.1,6.64,6.0,6.1,6.36,6.0,6.32,2019-07-18,6.3,0.03278688524590167,1
2019-07-31,600695.XSHG,6,bear,-0.030255,6.28,138587136.0,22944112.0,0,0,0.459854,0.101754,0.027823,-0.039755,0.068027,0.066033,0.039305,0.029819,-0.034779,ma20<=ma60,0.004446,0.366667,3,18,10,6,2,1,1,True,6.09,6.91,5.65,5.99,6.16,5.95,6.28,2019-08-01,6.02,-0.011494252873563265,1
2019-08-15,603583.XSHG,13,bear,-0.032457,32.35,355745952.0,10704066.0,0,0,0.351695,0.071547,0.004346,0.011886,0.074037,0.060378,0.048062,0.034142,-0.05305,ma20<=ma60,-0.000291,0.3,3,23,14,13,2,1,1,True,31.3,35.59,29.12,34.83,35.59,31.1,32.35,2019-08-16,34.51,0.1025559105431309,1
2019-08-26,000982.XSHE,1,bear,-0.03012,1.66,11332027.0,6667486.0,0,0,0.173077,0.018405,-0.023529,-0.13089,-0.001203,0.009732,-0.027818,0.025602,-0.008048,ma20<=ma60,0.009382,0.45,3,23,9,1,2,2,0,True,1.61,1.74,1.58,1.67,1.74,1.61,1.66,2019-08-27,1.68,0.04347826086956511,1
2019-08-26,600225.XSHG,5,bear,-0.033233,3.31,78799880.0,24455600.0,0,0,0.373984,0.088816,0.161404,0.00303,0.070505,0.069813,0.067398,0.036748,-0.008048,ma20<=ma60,0.009382,0.45,3,23,9,5,2,2,0,True,3.2,3.64,2.98,3.25,3.28,3.15,3.31,2019-08-27,3.31,0.03115264797507791,1
2019-11-12,002147.XSHE,0,bear,-0.035897,1.95,13857846.0,7203990.0,0,0,0.369565,0.059783,0.031746,-0.010152,0.052916,0.06267,0.046137,0.01931,-0.044636,ma20<=ma60,0.004456,0.316667,3,9,2,0,2,1,1,True,1.88,2.05,1.85,1.93,1.95,1.88,1.95,2019-11-13,1.98,0.05319148936170218,1
2019-11-27,000536.XSHE,0,bear,-0.039427,2.79,315602304.0,117905848.0,0,0,0.432099,0.107143,0.107143,0.041045,0.083075,0.103203,0.08666,0.027631,-0.038178,ma20<=ma60,0.000325,0.183333,3,17,11,0,2,1,1,True,2.68,3.07,2.51,2.64,2.73,2.61,2.79,2019-11-28,2.62,-0.026022304832713696,1
2019-11-27,002680.XSHE,6,bear,,0.77,,,0,0,0.333333,0.283333,0.638298,0.45283,0.078431,0.233974,0.444653,0.065598,-0.038178,ma20<=ma60,0.000325,0.183333,3,17,11,6,2,1,1,False,,,,,,,,,0.0,0.0,0
2019-12-02,600614.XSHG,3,bear,-0.032609,0.92,45148688.0,50525584.0,0,0,0.173913,-0.031579,0.045455,-0.132075,-0.021277,-0.006479,-0.050077,0.036893,-0.042123,ma20<=ma60,0.0057,0.35,3,14,6,3,2,1,1,True,0.89,0.97,0.87,0.87,0.93,0.87,0.92,2019-12-10,1.12,0.24444444444444452,6
