trade_date,provider,project_root,physical_expected_path,return_type,return_is_none,return_is_empty,return_rows,actual_source_path,physical_file_exists,physical_file_sha256
2023-01-03,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-04,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-05,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-06,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-09,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-10,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-11,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-12,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-13,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-16,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-17,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-18,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-19,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-20,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-30,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-01-31,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-01,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-02,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-03,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-06,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-07,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-08,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-09,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-10,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-13,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-14,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-15,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-16,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-21,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-22,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-23,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-24,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-27,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-02-28,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-01,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-02,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-03,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-07,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-08,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-09,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-10,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-13,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-21,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-22,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-23,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-24,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-27,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-28,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-29,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-30,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023-03-31,get_project_auction_yiqian_prepare,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1/project_cache/features/auction_yiqian_prepare/2023.parquet,NoneType,True,,,COMPUTED_FALLBACK,False,
2023Q1,get_project_board_snapshot,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1\project_cache\features\board_snapshot,NOT_WRAPPED_IN_PHASE1D_CLOSURE_RUN,,,,NOT_RECORDED,False,
2023Q1,get_project_master_prepare_index,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1\project_cache\features\master_prepare_index,NOT_WRAPPED_IN_PHASE1D_CLOSURE_RUN,,,,NOT_RECORDED,False,
2023Q1,load_first_seal_year,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1\project_cache\features\first_seal_time,NOT_WRAPPED_IN_PHASE1D_CLOSURE_RUN,,,,NOT_RECORDED,False,
2023Q1,load_project_call_auction_day,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1,D:\Work Space\他山之石\情绪门控\worktrees\motherboard-attribution-phase1d-auction-cache-v1\project_cache\features\call_auction_by_date,NOT_WRAPPED_IN_PHASE1D_CLOSURE_RUN,,,,NOT_RECORDED,False,
