trade_key,date,time,code,side,l1a_amount,l1b_amount,diff_amount,l1a_price,l1b_price,hook_id,key_query_ordinal,sequence_index,override_value,order_id,event_order_id,hook_query_time,trade_time,mapping_method,l1a_effective_hit,l1b_would_have_hit,l1a_override_amount,l1b_override_amount,supporting_hook_ids
2020-02-10|2020-02-10 9:30|600400.XSHG|buy#1,2020-02-10,9:30,600400.XSHG,buy,146300.0,146200.0,100.0,4.8,4.8,execution.order_amount_anomalies,1,0,146300.0,24,24,09:27,2020-02-10 9:30,order_id,True,True,146300.0,146300.0,
2020-03-02|2020-03-02 9:30|600654.XSHG|buy#1,2020-03-02,9:30,600654.XSHG,buy,352900.0,352700.0,200.0,2.15,2.15,execution.order_amount_anomalies,1,0,352900.0,68,68,09:28,2020-03-02 9:30,order_id,True,True,352900.0,352900.0,
2020-03-04|2020-03-04 9:30|600126.XSHG|buy#1,2020-03-04,9:30,600126.XSHG,buy,60000.0,59800.0,200.0,6.43,6.43,execution.order_amount_anomalies,1,0,60000.0,70,70,09:28,2020-03-04 9:30,order_id,True,True,60000.0,60000.0,
2020-03-10|2020-03-10 9:30|002596.XSHE|buy#1,2020-03-10,9:30,002596.XSHE,buy,50200.0,50000.0,200.0,7.58,7.58,execution.order_amount_anomalies,1,0,50200.0,77,77,09:28,2020-03-10 9:30,order_id,True,True,50200.0,50200.0,
2020-03-11|2020-03-11 9:30|603912.XSHG|buy#1,2020-03-11,9:30,603912.XSHG,buy,45700.0,45600.0,100.0,28.5,28.5,execution.order_amount_anomalies,1,0,45700.0,80,80,09:27,2020-03-11 9:30,order_id,True,True,45700.0,45700.0,
2020-03-16|2020-03-16 9:30|000592.XSHE|buy#1,2020-03-16,9:30,000592.XSHE,buy,287000.0,286700.0,300.0,2.84,2.84,execution.order_amount_anomalies,1,0,287000.0,86,86,09:28,2020-03-16 9:30,order_id,True,True,287000.0,287000.0,
2020-03-18|2020-03-18 9:30|000700.XSHE|buy#1,2020-03-18,9:30,000700.XSHE,buy,45200.0,45300.0,-100.0,10.62,10.62,execution.order_amount_anomalies,1,0,45200.0,89,89,09:26,2020-03-18 9:30,order_id,True,True,45200.0,45200.0,
2020-03-18|2020-03-18 9:30|002365.XSHE|buy#1,2020-03-18,9:30,002365.XSHE,buy,34300.0,34200.0,100.0,10.82,10.82,execution.order_amount_anomalies,1,0,34300.0,90,90,09:28,2020-03-18 9:30,order_id,True,True,34300.0,34300.0,
2020-04-02|2020-04-02 9:30|600086.XSHG|buy#1,2020-04-02,9:30,600086.XSHG,buy,146000.0,141700.0,4300.0,2.11,2.11,execution.fill_amount_anomalies,1,0,146000.0,107,107,09:30,2020-04-02 9:30,order_id,True,True,146000.0,146000.0,
2020-04-13|2020-04-13 9:30|002444.XSHE|buy#1,2020-04-13,9:30,002444.XSHE,buy,76300.0,76400.0,-100.0,10.56,10.56,execution.order_amount_anomalies,1,0,76300.0,113,113,09:30,2020-04-13 9:30,order_id,True,True,76300.0,76300.0,
2020-04-14|2020-04-14 9:30|002221.XSHE|buy#1,2020-04-14,9:30,002221.XSHE,buy,51600.0,51700.0,-100.0,9.61,9.61,execution.order_amount_anomalies,1,0,51600.0,114,114,09:26,2020-04-14 9:30,order_id,True,True,51600.0,51600.0,
2020-04-21|2020-04-21 9:30|002022.XSHE|buy#1,2020-04-21,9:30,002022.XSHE,buy,32600.0,32700.0,-100.0,18.8,18.8,execution.order_amount_anomalies,1,0,32600.0,119,119,09:26,2020-04-21 9:30,order_id,True,True,32600.0,32600.0,
2020-04-24|2020-04-24 9:30|601975.XSHG|buy#1,2020-04-24,9:30,601975.XSHG,buy,161900.0,162100.0,-200.0,2.82,2.82,execution.order_amount_anomalies,1,0,161900.0,123,123,09:26,2020-04-24 9:30,order_id,True,True,161900.0,161900.0,
2020-04-27|2020-04-27 9:30|600241.XSHG|buy#1,2020-04-27,9:30,600241.XSHG,buy,166000.0,166300.0,-300.0,3.17,3.17,execution.order_amount_anomalies,1,0,166000.0,124,124,09:30,2020-04-27 9:30,order_id,True,True,166000.0,166000.0,
2020-04-30|2020-04-30 9:30|600856.XSHG|buy#1,2020-04-30,9:30,600856.XSHG,buy,711900.0,712100.0,-200.0,1.02,1.02,execution.order_amount_anomalies,1,0,711900.0,127,127,09:30,2020-04-30 9:30,order_id,True,True,711900.0,711900.0,
2020-05-18|2020-05-18 9:30|000987.XSHE|buy#1,2020-05-18,9:30,000987.XSHE,buy,38600.0,38700.0,-100.0,11.71,11.71,execution.order_amount_anomalies,1,0,38600.0,138,138,09:26,2020-05-18 9:30,order_id,True,True,38600.0,38600.0,
2020-06-15|2020-06-15 9:30|600095.XSHG|buy#1,2020-06-15,9:30,600095.XSHG,buy,76100.0,76600.0,-500.0,10.9,10.9,execution.order_amount_anomalies,1,0,76100.0,180,180,09:26,2020-06-15 9:30,order_id,True,True,76100.0,76100.0,
2020-06-30|2020-06-30 9:30|600966.XSHG|buy#1,2020-06-30,9:30,600966.XSHG,buy,58400.0,58500.0,-100.0,10.09,10.09,execution.order_amount_anomalies,1,0,58400.0,214,214,09:28,2020-06-30 9:30,order_id,True,True,58400.0,58400.0,
2020-07-02|2020-07-02 9:30|000700.XSHE|buy#1,2020-07-02,9:30,000700.XSHE,buy,50500.0,50800.0,-300.0,8.01,8.01,execution.order_amount_anomalies,1,0,50500.0,221,221,09:28,2020-07-02 9:30,order_id,True,True,50500.0,50500.0,
2020-07-06|2020-07-06 9:30|000800.XSHE|buy#1,2020-07-06,9:30,000800.XSHE,buy,34700.0,34800.0,-100.0,12.71,12.71,execution.order_amount_anomalies,1,0,34700.0,226,226,09:26,2020-07-06 9:30,order_id,True,True,34700.0,34700.0,
2020-07-14|2020-07-14 9:30|002661.XSHE|buy#1,2020-07-14,9:30,002661.XSHE,buy,21400.0,21600.0,-200.0,26.68,26.68,execution.order_amount_anomalies,1,0,21400.0,243,243,09:26,2020-07-14 9:30,order_id,True,True,21400.0,21400.0,
2020-08-20|2020-08-20 9:30|600027.XSHG|buy#1,2020-08-20,9:30,600027.XSHG,buy,164300.0,165200.0,-900.0,4.29,4.29,execution.order_amount_anomalies,1,0,164300.0,311,311,09:26,2020-08-20 9:30,order_id,True,True,164300.0,164300.0,
